,document,char_count
0,IMG_5652_PREM_15_480.txt,652
1,IMG_6511_PREM_15_1000.txt,722
2,IMG_1658_DEFE_24_877.txt,2170
3,IMG_5413_PREM_15_476.txt,1924
4,IMG_7987_PREM_15_1012.txt,1351
5,IMG_8082_PREM_15_1013.txt,2344
6,IMG_5182_PREM_15_485.txt,200
7,IMG_8783_PREM_15_1690.txt,1711
8,IMG_4847_PREM_15_475.txt,1067
9,IMG_8052_PREM_15_1013.txt,1267
